sample_id	Intrahepatic.cholangiocyte	NK.Cell	Monocyte	Macrophage	Secretory.cell	Respiratory.ciliated.cell	Ionocyte.luminal.epithelial.cell.of.mammary.gland	Fibroblast.mesenchymal.stem.cell	Respiratory.secretory.cell	Mast.cell	Basal.cell	Endothelial.cell	neutrophil	B.cell	T.Cell	Erythrocyte.erythroid.progenitor	Platelet	Basophil	Stromal.cell	Mature.conventional.dendritic.cell	Adventitial.cell	Gland.cell	Salivary.bronchial.secretory.cell	Pericyte.cell	Myeloid.progenitor	Pancreatic.Stellate.cell	Pancreatic.alpha.beta.cell	Basal.prostate.cell	Prostate.epithelia	Salivary.gland.cell	Intestinal.enterocyte	Intestinal.secretory.cell	Intestinal.tuft.cell	Type.II.Pneumocyte	Cell.of.skeletal.muscle	Schwann.cell	Tendon.cell	Mesothelial.cell	Plasmablast	Kidney.epithelial.cell	Thymocyte
TBSQUARE_584_combined_61bp	0.00166796281769212	0.150885891480776	0.11154434006757	0.00224003222980834	6.2544901566399e-05	0.0121490748746958	0.0057106245990876	8.10878512198237e-05	3.71494198011849e-05	0.000145192437825384	0.000352371436517839	0.136335793803933	0.0739089571578628	0.069897182953516	0.0291090073593104	0.00275294613616683	0.0908721458436516	8.14084508704933e-05	6.71982198933416e-05	0.00178006326321874	7.01319961681733e-05	5.43515902318624e-05	5.13526036920644e-05	0.00367022653377895	0.199287867779484	7.57469955024729e-05	0.00369463886292582	6.40477214562243e-05	0.000178003208442061	5.24114491173876e-05	0.00215989821280264	0.000138882286199347	0.0784752790237211	6.97113759568777e-05	0.000282788177144664	0.0141194436735301	0.000107741060276002	0.000107431466595037	4.99814734011252e-05	0.00608871293857672	0.00152037626601361
TBSQUARE_589_combined_61bp	0.00901479718831697	0.086335316687648	0.0487833153031158	0.0082318425428634	5.01475987531721e-05	0.0136039335715543	0.00751024491338317	0.000157727471541051	4.05121167455267e-05	7.88888861732352e-05	0.00225757338763188	0.113468931220344	0.000266336110798626	0.208939382746789	0.0640041512193403	0.00262560913766408	0.0785091442168161	7.78959603844347e-05	7.69842719042804e-05	0.00155699788312449	8.22158692297059e-05	4.07657450310615e-05	4.50751755599436e-05	0.0168304645168996	0.207145232801077	6.66113687928425e-05	0.00581062583815423	6.98188277242469e-05	8.14412400214234e-05	7.34835927183464e-05	0.00568109869185854	0.000320186654867669	0.0893519155261907	0.00016412556840417	0.000106969585953752	0.0128996003188305	0.000968995896300825	0.000444669869450469	5.39086336587891e-05	0.00577327517283791	0.00839978667154674
TBSQUARE_591_combined_61bp	0.00141995149734758	0.0878556604215176	0.000601086842032498	0.0603576396511318	2.91001624481687e-05	0.00994638899723583	0.00470616216903037	4.61634675706625e-05	1.62388649887339e-05	4.12835030454906e-05	0.00138427687009392	0.0851136817579395	0.0557653625002663	0.173520974871429	0.0374193446212359	0.00917191792085202	0.162350210260028	4.22867659930267e-05	5.05979435166417e-05	0.000879784104391149	5.20065824993744e-05	2.39252931428967e-05	2.32257772769685e-05	0.0291577385450911	0.14729242988724	2.93759302477423e-05	0.00223754653538506	3.11885380036926e-05	3.764460798911e-05	9.67101862990161e-05	0.00941914524241462	2.27348969804059e-05	0.113089354660977	3.68113530455265e-05	4.81740503876354e-05	0.00555914335256836	4.66010687588837e-05	9.3838663057648e-05	2.4384277989426e-05	0.0015158299847986	0.000444077373752642
TBSQUARE_596_combined_61bp	0.000985606894833131	0.0462810221627515	0.00390419034751474	0.0375475168968499	0.000159550357496661	0.0115687894412756	0.000399210556557813	7.89332631733244e-05	3.80653261468098e-05	6.90819564247469e-05	0.00327126635901283	0.176752151868873	0.0269307847663473	0.16921619646524	0.0934790742586698	0.0176928748208698	0.0852791575552588	0.000104055279280659	8.88247278184398e-05	0.000180635760496174	9.74298323252834e-05	5.79949154106592e-05	5.38684388579674e-05	0.00561527848980423	0.196616416907966	6.97882112788991e-05	7.4699780603629e-05	6.86231961647952e-05	0.000107814553223019	7.26077480872044e-05	0.00194299143395396	4.97828123723712e-05	0.0938660017783343	0.000197015790970125	0.00018126854864599	0.0215774127960255	8.316576623841e-05	0.000125023915573201	6.03911226758204e-05	0.000948514023239158	0.00410692087335908
TBSQUARE_597_combined_61bp	0.000690730659747744	0.0799442837408585	0.194313720607799	0.000765811743419301	8.53954780901922e-05	0.0100802750074539	0.00250597895175737	6.29432623152936e-05	4.14715215825844e-05	8.31054017418593e-05	0.000123128899888663	0.14170550788971	0.00643497260615394	0.177660034077718	0.0819090171954717	0.0111512951053609	0.0473469701302858	0.000103302620557134	0.000116734037190949	0.00645102138369166	8.66643410539565e-05	4.93299445196286e-05	5.10812362722838e-05	0.00798375128239342	0.152801417454863	5.69497460702396e-05	0.00426595535260993	7.05434635196113e-05	0.000448911776332106	9.12878010211834e-05	0.00222820172145224	8.2278713905453e-05	0.0538273933489552	7.57088131610824e-05	0.000143376389969445	0.00845411343903779	6.22886792946161e-05	0.000131129450745637	4.34397991378077e-05	0.00374998935938418	0.00372048756550707
TBSQUARE_598_combined_61bp	0.00060160058627234	0.0451685840896989	0.141758587899852	0.000163625638274516	4.28334102356007e-05	0.00241046747272025	0.00652074415804747	6.3475406235323e-05	2.52828394494023e-05	5.15182887289687e-05	4.73923488469313e-05	0.112814915397595	0.029676238487688	0.15052808149171	0.0454312249255736	0.00014935548333549	0.30673502760423	6.71317741491169e-05	4.63083137475043e-05	0.00275632466648739	6.88403226001505e-05	3.21275020592793e-05	2.97694579365065e-05	0.00171541338960451	0.0937337963954149	4.63556381602849e-05	0.00171188239917725	4.83505039416744e-05	8.38186570252492e-05	4.76654339722452e-05	0.00050188148481611	4.27253318479777e-05	0.049874238634012	4.52456923519606e-05	0.000284397043467258	0.00474110915106543	0.00011831299781806	6.39881887026013e-05	4.96547552058555e-05	0.00150601135697525	0.000195695380967439
TBSQUARE_599_combined_61bp	0.00714701181663525	0.0485095530295236	0.000131480352184106	0.00139075505617363	8.46073548524042e-05	0.0517478501577885	0.0132327062776488	0.0097771237691867	5.27678365273458e-05	0.000186521093888026	0.0013849927689162	0.0531572994371747	0.00167341644690008	0.116942688811987	0.00599679483284335	0.0274011975021633	0.324493243440771	0.000111673075247086	0.000106773880759077	0.000634045814554466	0.000311512107020631	5.67823181562086e-05	5.86052348371492e-05	0.0180679032564469	0.0967282032818311	9.0392994268772e-05	0.0314676155165061	9.14641322066969e-05	0.0026980726102324	9.09052349978413e-05	0.0325820346579172	0.000111131641109004	0.118269932498781	8.7998929611832e-05	0.000721847550234042	0.014012072512979	0.00411558819508629	0.000825032471328323	6.41814439566711e-05	0.00801159099448598	0.00737462966228264
TBSQUARE_601_combined_61bp	0.000512272295310074	0.0671826336851527	0.0512894082278923	0.0187436293870348	4.05359169465152e-05	0.00372350792125392	0.000639390138193302	5.29426055507739e-05	2.32667963337837e-05	7.46206132965816e-05	0.000807025921963465	0.127616226341619	0.0472458570870817	0.165380458295576	0.0903839341052477	0.00484498868281177	0.176373723493081	6.37430106622655e-05	4.33514302529599e-05	0.00240378422623096	5.3395333945441e-05	3.53340854030856e-05	2.6203982412182e-05	0.00931276747853547	0.176099631096816	3.93188095523563e-05	0.000601289854394244	5.48908331063338e-05	5.40050210050654e-05	4.09282663172878e-05	0.000216127656694	3.09198823151586e-05	0.0477909978239598	5.80630332733643e-05	6.50851239270284e-05	0.00260581324035982	4.75606130221853e-05	4.77599013702663e-05	3.53229527108218e-05	0.00102840119020192	0.00431088363918669
TBSQUARE_602_combined_61bp	0.00733457001354632	0.10469249959041	0.00588597306534083	0.0216199195212521	3.43763441539634e-05	0.0175725168769196	0.00548980144309203	5.19427949696275e-05	2.18934386505124e-05	4.58617206395305e-05	0.000429682411291064	0.0832547602153108	0.094149455229578	0.0611847503650124	0.0132853622891034	0.0395601774827969	0.255627050962968	5.50640094309945e-05	4.67018358136412e-05	0.00196362404433109	5.73045531150785e-05	3.31702774934412e-05	3.25003145674428e-05	0.014597832341444	0.171362341582402	3.46806588288059e-05	0.00625530947973017	4.02870568954054e-05	0.000616565987301163	3.21035512949387e-05	0.00280092050608784	2.50153132348028e-05	0.0714827209237929	4.53129067398988e-05	0.000422737588361546	0.0123420830019964	0.000787790918289784	0.000450580337782931	2.46605616244205e-05	0.00314876832922291	0.00310133015518369
TBSQUARE_603_combined_61bp	0.001314857331571	0.0225743827633452	0.0344742238556106	0.0240544334606741	2.60021304529051e-05	0.00154376966098227	3.73350740504305e-05	3.26302059197522e-05	1.58449917392811e-05	5.16051740391234e-05	5.55110044798129e-05	0.117270851323443	0.00815320903690665	0.217904199226313	0.081051688679491	0.0155813887305561	0.262883624332944	4.00688737622132e-05	3.88432731386406e-05	0.000336697770953628	3.64059003186856e-05	1.71524291837088e-05	1.81207196258251e-05	0.0156863691835067	0.122331330483657	2.74517587180716e-05	0.000482318961011909	4.00433396203654e-05	3.61371430834786e-05	3.26358158457188e-05	3.57007785936327e-05	2.80580545612932e-05	0.0623661831054665	3.80626747152619e-05	7.12824437463388e-05	0.00691453679603041	3.31193918476666e-05	6.80630301188854e-05	2.73533990897057e-05	0.000815213989509934	0.00345329370137553
