"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSG00000175087.10"	12.7616662109725	-0.507428483504424	0.146529097007028	-3.46298785612584	0.00053421250533969	0.00755683484277663
"ENSG00000169442.9"	112.845355527703	-0.505105297866089	0.153971862818773	-3.28050390908504	0.00103621828843176	0.0117415643721651
"ENSG00000198830.11"	77.4800061109969	-0.243729560344183	0.0814555992676344	-2.99217687348139	0.00276995727308047	0.0220543366153251
"ENSG00000204160.12"	92.7489218877824	0.663096688865961	0.12489282915132	5.30932555032887	1.10031642881821e-07	2.99434525434465e-05
"ENSG00000117758.14"	34.6041447135696	0.35016767795276	0.125372175782211	2.79302545216294	0.00522175831327565	0.0335821925921352
"ENSG00000130775.16"	124.692213145694	0.447622671943496	0.118402574679351	3.78051468184468	0.000156504489407474	0.00324475644375496
"ENSG00000126698.11"	34.8778940479054	-0.292678262532938	0.112134872932118	-2.61005568455153	0.00905274854752615	0.0481962149503485
"ENSG00000060688.13"	19.1821891033269	-0.507388919090742	0.1773878033733	-2.8603371226317	0.00423190874887559	0.028978472596944
"ENSG00000182866.17"	31.460732201163	-0.906248292931068	0.21183869395106	-4.27801114153598	1.88570584915527e-05	0.000843732488916909
"ENSG00000116478.12"	46.3234197285503	-0.320076792905387	0.100693787074282	-3.17871441928454	0.001479297601841	0.0147226671970298
"ENSG00000175130.7"	9.70918409168824	-0.702568452045417	0.215485533284185	-3.26039730527461	0.00111256248089807	0.0123403857961316
"ENSG00000162521.19"	62.0290768664195	-0.227347401748182	0.0832613878699436	-2.73052620865875	0.00632333050610411	0.0383132351845544
"ENSG00000116514.17"	70.9295001066138	0.459996993064862	0.127240035508636	3.61519070020726	0.000300126611368061	0.00513451898860065
"ENSG00000146463.12"	34.021828255381	-0.282395701034256	0.0994327639488667	-2.84006689363959	0.00451040744905803	0.0302136698602927
"ENSG00000119535.18"	379.433483573204	0.525205506351223	0.178198563972329	2.94730493132805	0.00320556928591138	0.0241629304704767
"ENSG00000163875.16"	31.5659489441679	-0.450176124062672	0.125628715770495	-3.5833855444728	0.000339169417755352	0.00557473124630853
"ENSG00000196449.4"	5.44155528165322	-0.597446999397784	0.203909718968425	-2.92995842679916	0.00339007355456835	0.0251552587642315
"ENSG00000188786.10"	23.6813751170326	0.434334782714018	0.167716848573737	2.5896908176346	0.00960621668818708	0.0499206436170069
"ENSG00000183431.12"	26.9361464643416	-0.452917895020638	0.143560164311186	-3.15489953075617	0.00160553383451797	0.0155791837325331
"ENSG00000127603.31"	482.889285085896	-0.302675750750107	0.104444360064027	-2.89796165694882	0.00375596505392831	0.0268396146541618
"ENSG00000084070.12"	209.394339773707	0.268778336793915	0.102517303533161	2.62178507950099	0.00874705724481254	0.0469890658559196
"ENSG00000164002.12"	5.44471276193778	-0.605586520561886	0.23054753184998	-2.62673174465363	0.00862092669697384	0.0465503365225972
"ENSG00000159658.15"	97.2909798416344	-0.224246118936394	0.0789752664087467	-2.8394474515069	0.00451917377380674	0.0302530367082842
"ENSG00000162368.14"	127.429862842861	-0.42975732356222	0.126027717193449	-3.41002228027788	0.000649575726640576	0.00869700493341027
"ENSG00000185104.20"	27.7184058180685	-0.33666025319509	0.127919259252253	-2.63181834512664	0.0084929259123094	0.0461926931438335
"ENSG00000134744.14"	59.5951922840831	-0.38604400432272	0.116653728594155	-3.3093156041826	0.000935243482906202	0.0109407813028245
"ENSG00000058799.15"	21.1957414679914	0.413797810250801	0.156486348681352	2.64430612470487	0.00818585859363737	0.0450009080166049
"ENSG00000132849.21"	24.2124935269393	-0.680878392675717	0.22692972368978	-3.00039316844407	0.00269631319189746	0.0216587386335182
"ENSG00000088035.18"	16.3400804311245	-0.434695189192962	0.124437996537782	-3.49326734026115	0.000477148564469241	0.00701649644661932
"ENSG00000184588.18"	92.0557967378142	0.504613465479894	0.102342228957011	4.93064759896775	8.19574650328192e-07	0.000115958737688327
"ENSG00000066557.6"	12.6609216820278	-0.553690673180754	0.147236120664082	-3.76056276600763	0.000169531529095514	0.00340852425442254
"ENSG00000116754.13"	104.566012759535	-0.398485051111877	0.0927464367436045	-4.29649984520139	1.73516089363791e-05	0.000811032792695933
"ENSG00000118454.13"	30.7036718730871	-0.375134675299085	0.136115394931517	-2.75600475234874	0.00585121468332044	0.0363573992488813
"ENSG00000132485.14"	87.000897782719	-0.323986862517809	0.0993709525260853	-3.26037795031462	0.00111263841371044	0.0123403857961316
"ENSG00000137955.16"	37.653481119005	-0.392087971339998	0.11762150771508	-3.3334717345213	0.000857693858363317	0.0102864314972095
"ENSG00000036549.13"	45.4253875064658	-0.428976639668242	0.106651040341208	-4.02224524295139	5.76459898729502e-05	0.00168590367030667
"ENSG00000180488.15"	19.7323700889332	-0.395564272524855	0.137111418835353	-2.88498416751021	0.00391433346759323	0.027598027882627
"ENSG00000162613.17"	92.9632841209934	-0.37730679311315	0.091864548370865	-4.10720783810889	4.0047085013837e-05	0.00134388775671434
"ENSG00000142875.19"	145.074470823036	-0.411165804316268	0.116150282829839	-3.53994664755683	0.000400207929127283	0.00624751099552204
"ENSG00000117133.11"	15.1085586080091	-0.394229239613438	0.12569234119002	-3.13646190277774	0.00170999651751719	0.0162837349760071
"ENSG00000285851.1"	12.4998914179219	0.539436468498829	0.204883614164783	2.63289219441909	0.00846612149387958	0.0461427860702338
"ENSG00000153898.13"	9.45850591786314	-0.791912441987479	0.261393406658331	-3.02958078442504	0.00244893400128694	0.0203818274987872
"ENSG00000117174.11"	6.32647893676171	-0.526213297086961	0.195151819311224	-2.69643039426534	0.00700870437684214	0.0408353560520519
"ENSG00000122417.15"	43.1093409862273	-0.591853304256349	0.13336579466861	-4.43781935035889	9.0874836479236e-06	0.000547578374868297
