sample_id	project_id	prep_type	path
R2D2_P105_combined_61bp	mtb_cfrna	SMARTer_pico_v3	/workdir/cjl332/tb-cfrna/0_ALIGN/fastqs_61bp/
R2D2_P113_combined_61bp	mtb_cfrna	SMARTer_pico_v3	/workdir/cjl332/tb-cfrna/0_ALIGN/fastqs_61bp/
R2D2_P110_combined_61bp	mtb_cfrna	SMARTer_pico_v3	/workdir/cjl332/tb-cfrna/0_ALIGN/fastqs_61bp/
R2D2_P114_combined_61bp	mtb_cfrna	SMARTer_pico_v3	/workdir/cjl332/tb-cfrna/0_ALIGN/fastqs_61bp/
R2D2_P118_combined_61bp	mtb_cfrna	SMARTer_pico_v3	/workdir/cjl332/tb-cfrna/0_ALIGN/fastqs_61bp/
R2D2_P119_combined_61bp	mtb_cfrna	SMARTer_pico_v3	/workdir/cjl332/tb-cfrna/0_ALIGN/fastqs_61bp/
R2D2_P124_combined_61bp	mtb_cfrna	SMARTer_pico_v3	/workdir/cjl332/tb-cfrna/0_ALIGN/fastqs_61bp/
R2D2_P126_combined_61bp	mtb_cfrna	SMARTer_pico_v3	/workdir/cjl332/tb-cfrna/0_ALIGN/fastqs_61bp/
R2D2_P127_combined_61bp	mtb_cfrna	SMARTer_pico_v3	/workdir/cjl332/tb-cfrna/0_ALIGN/fastqs_61bp/
R2D2_P129_combined_61bp	mtb_cfrna	SMARTer_pico_v3	/workdir/cjl332/tb-cfrna/0_ALIGN/fastqs_61bp/
R2D2_P130_combined_61bp	mtb_cfrna	SMARTer_pico_v3	/workdir/cjl332/tb-cfrna/0_ALIGN/fastqs_61bp/
R2D2_P131_combined_61bp	mtb_cfrna	SMARTer_pico_v3	/workdir/cjl332/tb-cfrna/0_ALIGN/fastqs_61bp/
R2D2_P133_combined_61bp	mtb_cfrna	SMARTer_pico_v3	/workdir/cjl332/tb-cfrna/0_ALIGN/fastqs_61bp/
R2D2_P152_combined_61bp	mtb_cfrna	SMARTer_pico_v3	/workdir/cjl332/tb-cfrna/0_ALIGN/fastqs_61bp/
R2D2_P202_combined_61bp	mtb_cfrna	SMARTer_pico_v3	/workdir/cjl332/tb-cfrna/0_ALIGN/fastqs_61bp/
R2D2_P214_combined_61bp	mtb_cfrna	SMARTer_pico_v3	/workdir/cjl332/tb-cfrna/0_ALIGN/fastqs_61bp/
R2D2_P232_combined_61bp	mtb_cfrna	SMARTer_pico_v3	/workdir/cjl332/tb-cfrna/0_ALIGN/fastqs_61bp/
R2D2_P241_combined_61bp	mtb_cfrna	SMARTer_pico_v3	/workdir/cjl332/tb-cfrna/0_ALIGN/fastqs_61bp/
R2D2_P245_combined_61bp	mtb_cfrna	SMARTer_pico_v3	/workdir/cjl332/tb-cfrna/0_ALIGN/fastqs_61bp/
R2D2_U100_combined_61bp	mtb_cfrna	SMARTer_pico_v3	/workdir/cjl332/tb-cfrna/0_ALIGN/fastqs_61bp/
R2D2_U102_combined_61bp	mtb_cfrna	SMARTer_pico_v3	/workdir/cjl332/tb-cfrna/0_ALIGN/fastqs_61bp/
R2D2_U103_combined_61bp	mtb_cfrna	SMARTer_pico_v3	/workdir/cjl332/tb-cfrna/0_ALIGN/fastqs_61bp/
R2D2_U105_combined_61bp	mtb_cfrna	SMARTer_pico_v3	/workdir/cjl332/tb-cfrna/0_ALIGN/fastqs_61bp/
R2D2_U106_combined_61bp	mtb_cfrna	SMARTer_pico_v3	/workdir/cjl332/tb-cfrna/0_ALIGN/fastqs_61bp/
R2D2_U110_combined_61bp	mtb_cfrna	SMARTer_pico_v3	/workdir/cjl332/tb-cfrna/0_ALIGN/fastqs_61bp/
R2D2_U111_combined_61bp	mtb_cfrna	SMARTer_pico_v3	/workdir/cjl332/tb-cfrna/0_ALIGN/fastqs_61bp/
R2D2_U112_combined_61bp	mtb_cfrna	SMARTer_pico_v3	/workdir/cjl332/tb-cfrna/0_ALIGN/fastqs_61bp/
R2D2_U114_combined_61bp	mtb_cfrna	SMARTer_pico_v3	/workdir/cjl332/tb-cfrna/0_ALIGN/fastqs_61bp/
R2D2_U118_combined_61bp	mtb_cfrna	SMARTer_pico_v3	/workdir/cjl332/tb-cfrna/0_ALIGN/fastqs_61bp/
R2D2_U122_combined_61bp	mtb_cfrna	SMARTer_pico_v3	/workdir/cjl332/tb-cfrna/0_ALIGN/fastqs_61bp/
R2D2_U124_combined_61bp	mtb_cfrna	SMARTer_pico_v3	/workdir/cjl332/tb-cfrna/0_ALIGN/fastqs_61bp/
R2D2_U130_combined_61bp	mtb_cfrna	SMARTer_pico_v3	/workdir/cjl332/tb-cfrna/0_ALIGN/fastqs_61bp/
R2D2_U129_combined_61bp	mtb_cfrna	SMARTer_pico_v3	/workdir/cjl332/tb-cfrna/0_ALIGN/fastqs_61bp/
R2D2_U132_combined_61bp	mtb_cfrna	SMARTer_pico_v3	/workdir/cjl332/tb-cfrna/0_ALIGN/fastqs_61bp/
R2D2_U133_combined_61bp	mtb_cfrna	SMARTer_pico_v3	/workdir/cjl332/tb-cfrna/0_ALIGN/fastqs_61bp/
R2D2_U131_combined_61bp	mtb_cfrna	SMARTer_pico_v3	/workdir/cjl332/tb-cfrna/0_ALIGN/fastqs_61bp/
R2D2_U269_combined_61bp	mtb_cfrna	SMARTer_pico_v3	/workdir/cjl332/tb-cfrna/0_ALIGN/fastqs_61bp/
R2D2_U273_combined_61bp	mtb_cfrna	SMARTer_pico_v3	/workdir/cjl332/tb-cfrna/0_ALIGN/fastqs_61bp/
R2D2_U287_combined_61bp	mtb_cfrna	SMARTer_pico_v3	/workdir/cjl332/tb-cfrna/0_ALIGN/fastqs_61bp/
R2D2_U298_combined_61bp	mtb_cfrna	SMARTer_pico_v3	/workdir/cjl332/tb-cfrna/0_ALIGN/fastqs_61bp/
